RUN,val_accuracy,EPOCHS,AUC,NEURONS,BATCH_SIZE,loss,val_AUC,LR,val_loss,accuracy
0,0.76157516,0,0.52868736,[512; 512; 512; 512],32,0.6938346606891735,0.6591593,0.001,0.5627851161865745,0.7156412
0,0.78472555,50,0.76328117,[512; 512; 512; 512],32,0.48462465396038124,0.782135,0.001,0.474747957819117,0.78689504
0,0.77350837,100,0.76880467,[512; 512; 512; 512],32,0.4936248434538231,0.7579877,0.001,0.5054127738982226,0.79190785
0,0.7861575,150,0.7675099,[512; 512; 512; 512],32,0.49412975312986657,0.75736094,0.001,0.4974424701601907,0.79823357
0,0.79188544,200,0.73673356,[512; 512; 512; 512],32,0.5068668410161546,0.7353536,0.001,0.485287181033724,0.7918482
0,0.7926014,250,0.702229,[512; 512; 512; 512],32,0.5274373924183718,0.74625266,0.001,0.49140211184440197,0.787074
0,0.77350837,300,0.60377294,[512; 512; 512; 512],32,0.563771080128111,0.56110483,0.001,0.5311477410195835,0.7760339
0,0.7634845,350,0.53099036,[512; 512; 512; 512],32,0.6284769959514364,0.50860566,0.001,0.5506200167899484,0.7582503
0,0.7620525,400,0.51199013,[512; 512; 512; 512],32,0.6679590590680109,0.5,0.001,0.5490523835924189,0.7554455
0,0.7620525,450,0.49928558,[512; 512; 512; 512],32,0.5670940769421583,0.5,0.001,0.5488308923056701,0.7547294
0,0.7620525,500,0.49948817,[512; 512; 512; 512],32,0.6460255986947593,0.50028145,0.001,0.5519941374908484,0.75455034
0,0.7620525,550,0.5047364,[512; 512; 512; 512],32,0.8551955536241754,0.5003388,0.001,0.5927573228366051,0.75466967
0,0.7620525,600,0.49768156,[512; 512; 512; 512],32,1.0198141456738772,0.50475514,0.001,0.5875900711962033,0.75478905
1,0.7658711,0,0.55524886,[1024; 1024; 1024; 1024],32,0.785986673090661,0.6993544,0.001,0.5459152404049985,0.72530884
1,0.7768496,50,0.7177493,[1024; 1024; 1024; 1024],32,0.5115915806003094,0.7220065,0.001,0.4981464193089196,0.77484035
1,0.77971363,100,0.6193505,[1024; 1024; 1024; 1024],32,0.5427641789750409,0.62258184,0.001,0.5260803875604506,0.7681566
1,0.7634845,150,0.50176215,[1024; 1024; 1024; 1024],32,2.1785964063480616,0.5,0.001,3.6482395959640175,0.7543116
1,0.7634845,200,0.49318066,[1024; 1024; 1024; 1024],32,2.9994133122320026,0.5,0.001,3.6482395891358004,0.7543713
1,0.7634845,250,0.5016442,[1024; 1024; 1024; 1024],32,2.9710286820767893,0.5,0.001,3.6482395935741416,0.7543713
1,0.7634845,300,0.50529915,[1024; 1024; 1024; 1024],32,3.558665002766078,0.5,0.001,3.648239607116772,0.754431
1,0.7634845,350,0.49746284,[1024; 1024; 1024; 1024],32,3.697079303035974,0.5,0.001,3.6482395927206146,0.754431
1,0.7634845,400,0.50316244,[1024; 1024; 1024; 1024],32,3.6868063843804455,0.5,0.001,3.6482395963054284,0.754431
1,0.7634845,450,0.4987408,[1024; 1024; 1024; 1024],32,3.7436834320416206,0.5,0.001,3.6482396040440745,0.754431
1,0.7634845,500,0.5015911,[1024; 1024; 1024; 1024],32,3.740990513156591,0.5,0.001,3.6482395942569634,0.7543713
1,0.7634845,550,0.4992406,[1024; 1024; 1024; 1024],32,3.743453212560358,0.5,0.001,3.6482395953949993,0.754431
1,0.7634845,600,0.4987766,[1024; 1024; 1024; 1024],32,3.744463962224387,0.5,0.001,3.6482396134897748,0.754431
2,0.7618138,0,0.5001466,[2048; 2048; 2048; 2048],32,3.7754999800485893,0.5,0.001,3.674009203284908,0.7544907
2,0.7618138,50,0.5,[2048; 2048; 2048; 2048],32,3.781445847040231,0.5,0.001,3.6740091964566908,0.7548487
2,0.7618138,100,0.5,[2048; 2048; 2048; 2048],32,3.7814458559469584,0.5,0.001,3.67400921090975,0.7548487
2,0.7618138,150,0.5,[2048; 2048; 2048; 2048],32,3.781445856103466,0.5,0.001,3.6740091958307706,0.7548487
2,0.7618138,200,0.5,[2048; 2048; 2048; 2048],32,3.781445858024246,0.5,0.001,3.674009192814975,0.7548487
2,0.7618138,250,0.5,[2048; 2048; 2048; 2048],32,3.781445857369758,0.5,0.001,3.6740091997569957,0.7548487
2,0.7618138,300,0.5,[2048; 2048; 2048; 2048],32,3.781445861382054,0.5,0.001,3.6740092004398175,0.7548487
2,0.7618138,350,0.5,[2048; 2048; 2048; 2048],32,3.7814458563737983,0.5,0.001,3.6740091932701895,0.7548487
2,0.7618138,400,0.5,[2048; 2048; 2048; 2048],32,3.781445848633767,0.5,0.001,3.6740092028296933,0.7548487
2,0.7618138,450,0.5,[2048; 2048; 2048; 2048],32,3.7814458577965984,0.5,0.001,3.674009199301781,0.7548487
2,0.7618138,500,0.5,[2048; 2048; 2048; 2048],32,3.7814458547802623,0.5,0.001,3.6740091995293884,0.7548487
2,0.7618138,550,0.5,[2048; 2048; 2048; 2048],32,3.781445858764102,0.5,0.001,3.6740092039677292,0.7548487
2,0.7618138,600,0.5,[2048; 2048; 2048; 2048],32,3.7814458563168865,0.5,0.001,3.6740092078370523,0.7548487
3,0.77159905,0,0.5167468,[512; 512; 512; 512; 512],32,0.6929024387502923,0.65362763,0.001,0.5853932413963828,0.7182073
3,0.7928401,50,0.7409591,[512; 512; 512; 512; 512],32,0.4994403428761609,0.76238024,0.001,0.48813516908727567,0.78074837
3,0.79116946,100,0.74228066,[512; 512; 512; 512; 512],32,0.49657414255730115,0.7559917,0.001,0.48220196832904955,0.7861192
3,0.7868735,150,0.68618923,[512; 512; 512; 512; 512],32,0.5148704071552719,0.6871051,0.001,0.49512301740327713,0.782658
3,0.77303106,200,0.52259356,[512; 512; 512; 512; 512],32,0.5805991516233081,0.5036573,0.001,0.5355162512573252,0.75902605
3,0.77159905,250,0.5032294,[512; 512; 512; 512; 512],32,0.5748467321269813,0.5,0.001,0.5384287256329612,0.7520439
3,0.77159905,300,0.50137365,[512; 512; 512; 512; 512],32,0.589503935874202,0.5,0.001,0.538349651152308,0.7523423
3,0.77159905,350,0.5032783,[512; 512; 512; 512; 512],32,0.6083606169656601,0.5,0.001,0.5382981409036459,0.75198424
3,0.77159905,400,0.5082144,[512; 512; 512; 512; 512],32,0.9289841482105335,0.5,0.001,0.5389668131500553,0.75144714
3,0.77159905,450,0.50452805,[512; 512; 512; 512; 512],32,0.8221708767424195,0.49947754,0.001,0.5418983885240442,0.7523423
3,0.77159905,500,0.5088245,[512; 512; 512; 512; 512],32,0.7114042599965104,0.49947754,0.001,0.5418517959146341,0.7512084
3,0.77159905,550,0.4988431,[512; 512; 512; 512; 512],32,0.8743394434348903,0.5,0.001,0.5382670532547489,0.7522826
3,0.77159905,600,0.50588715,[512; 512; 512; 512; 512],32,2.39256593120648,0.5,0.001,3.5230729622032877,0.7522826
4,0.7455847,0,0.5372727,[1024; 1024; 1024; 1024; 1024],32,0.7734552313058283,0.68010545,0.001,0.5436531156230371,0.732649
4,0.7572792,50,0.5005986,[1024; 1024; 1024; 1024; 1024],32,0.5648674830983744,0.5,0.001,0.5542104523051041,0.75586325
4,0.7572792,100,0.4962729,[1024; 1024; 1024; 1024; 1024],32,0.5605494750529917,0.5,0.001,0.5542146718587397,0.7559826
4,0.7572792,150,0.4948468,[1024; 1024; 1024; 1024; 1024],32,2.1602423905600667,0.5,0.001,3.7439552539288288,0.7559826
4,0.7572792,200,0.4901703,[1024; 1024; 1024; 1024; 1024],32,3.004515785031866,0.5,0.001,3.7439552616674745,0.7559826
4,0.7572792,250,0.5020302,[1024; 1024; 1024; 1024; 1024],32,3.3511038204718298,0.5,0.001,3.7439552572291337,0.7559826
4,0.7572792,300,0.50002706,[1024; 1024; 1024; 1024; 1024],32,3.3669423226660813,0.5,0.001,3.7439552715683893,0.7559229
4,0.7572792,350,0.50051445,[1024; 1024; 1024; 1024; 1024],32,3.366694193449212,0.5,0.001,3.743955272820229,0.7559826
4,0.7572792,400,0.5039921,[1024; 1024; 1024; 1024; 1024],32,3.3337701061157947,0.5,0.001,3.7439552618950818,0.7559826
4,0.7572792,450,0.5022848,[1024; 1024; 1024; 1024; 1024],32,3.347933166627633,0.5,0.001,3.7439552737306583,0.7559826
4,0.7572792,500,0.498229,[1024; 1024; 1024; 1024; 1024],32,3.569469157783102,0.5,0.001,3.7439552671300484,0.7559826
4,0.7572792,550,0.5008469,[1024; 1024; 1024; 1024; 1024],32,3.361845386649342,0.5,0.001,3.743955258480973,0.7559826
4,0.7572792,600,0.50165135,[1024; 1024; 1024; 1024; 1024],32,3.3583082061768033,0.5,0.001,3.7439552662196194,0.7559826
5,0.7594272,0,0.5004338,[2048; 2048; 2048; 2048; 2048],32,3.7641118975238284,0.5,0.001,3.710822916030884,0.75520676
5,0.7594272,50,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407774274442,0.5,0.001,3.710822938564,0.7554455
5,0.7594272,100,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407809844443,0.5,0.001,3.7108229257041914,0.7554455
5,0.7594272,150,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407773705324,0.5,0.001,3.710822915006651,0.7554455
5,0.7594272,200,0.5,[2048; 2048; 2048; 2048; 2048],32,3.772240781098268,0.5,0.001,3.7108229084060413,0.7554455
5,0.7594272,250,0.5,[2048; 2048; 2048; 2048; 2048],32,3.7722407838585,0.5,0.001,3.710822917055116,0.7554455
5,0.7594272,300,0.5,[2048; 2048; 2048; 2048; 2048],32,3.772240786319944,0.5,0.001,3.710822927297442,0.7554455